p	effect	size
0.16015625	0.92	10
0.232421875	0.92	10
0.009765625	0.92	10
0.00390625	0.92	10
0.064453125	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.193359375	0.92	10
0.00390625	0.92	10
0.10546875	0.92	10
0.001953125	0.92	10
0.375	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.232421875	0.92	10
0.556640625	0.92	10
0.009765625	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.431640625	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.10546875	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.232421875	0.92	10
0.193359375	0.92	10
0.322265625	0.92	10
0.02734375	0.92	10
0.02734375	0.92	10
0.193359375	0.92	10
0.013671875	0.92	10
0.048828125	0.92	10
0.005859375	0.92	10
0.232421875	0.92	10
0.013671875	0.92	10
0.130859375	0.92	10
0.00390625	0.92	10
0.431640625	0.92	10
0.193359375	0.92	10
0.083984375	0.92	10
0.083984375	0.92	10
1	0.92	10
0.6953125	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.01953125	0.92	10
0.76953125	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.232421875	0.92	10
0.10546875	0.92	10
0.005859375	0.92	10
0.00390625	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.193359375	0.92	10
0.130859375	0.92	10
0.013671875	0.92	10
0.01953125	0.92	10
0.00390625	0.92	10
0.064453125	0.92	10
0.083984375	0.92	10
0.4921875	0.92	10
0.037109375	0.92	10
0.01953125	0.92	10
0.01953125	0.92	10
0.10546875	0.92	10
0.16015625	0.92	10
0.921875	0.92	10
0.130859375	0.92	10
0.005859375	0.92	10
0.4921875	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.005859375	0.92	10
0.275390625	0.92	10
0.001953125	0.92	10
0.232421875	0.92	10
0.00390625	0.92	10
1	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.10546875	0.92	10
0.02734375	0.92	10
0.00390625	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.00390625	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.193359375	0.92	10
0.322265625	0.92	10
0.10546875	0.92	10
0.375	0.92	10
0.048828125	0.92	10
0.845703125	0.92	10
0.10546875	0.92	10
0.130859375	0.92	10
0.02734375	0.92	10
0.625	0.92	10
0.083984375	0.92	10
0.193359375	0.92	10
0.02734375	0.92	10
0.130859375	0.92	10
0.013671875	0.92	10
0.01953125	0.92	10
0.064453125	0.92	10
0.013671875	0.92	10
0.037109375	0.92	10
0.005859375	0.92	10
0.16015625	0.92	10
0.275390625	0.92	10
0.009765625	0.92	10
0.16015625	0.92	10
0.193359375	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.013671875	0.92	10
0.130859375	0.92	10
0.921875	0.92	10
0.013671875	0.92	10
0.01953125	0.92	10
0.013671875	0.92	10
0.431640625	0.92	10
0.232421875	0.92	10
0.064453125	0.92	10
0.009765625	0.92	10
0.375	0.92	10
0.556640625	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.4921875	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.275390625	0.92	10
0.193359375	0.92	10
0.16015625	0.92	10
0.10546875	0.92	10
0.130859375	0.92	10
0.00390625	0.92	10
0.10546875	0.92	10
0.431640625	0.92	10
0.083984375	0.92	10
0.4921875	0.92	10
0.16015625	0.92	10
0.16015625	0.92	10
0.76953125	0.92	10
0.048828125	0.92	10
0.005859375	0.92	10
0.037109375	0.92	10
0.16015625	0.92	10
0.048828125	0.92	10
0.013671875	0.92	10
0.009765625	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.4921875	0.92	10
0.275390625	0.92	10
0.16015625	0.92	10
0.10546875	0.92	10
0.556640625	0.92	10
0.037109375	0.92	10
0.130859375	0.92	10
0.16015625	0.92	10
0.048828125	0.92	10
0.130859375	0.92	10
0.193359375	0.92	10
0.01953125	0.92	10
0.322265625	0.92	10
0.01953125	0.92	10
0.048828125	0.92	10
0.10546875	0.92	10
0.556640625	0.92	10
0.083984375	0.92	10
0.625	0.92	10
0.005859375	0.92	10
0.00390625	0.92	10
0.01953125	0.92	10
0.001953125	0.92	10
0.013671875	0.92	10
0.064453125	0.92	10
0.064453125	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.009765625	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.01953125	0.92	10
0.001953125	0.92	10
0.322265625	0.92	10
0.6953125	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.375	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.4921875	0.92	10
0.083984375	0.92	10
0.048828125	0.92	10
0.232421875	0.92	10
0.009765625	0.92	10
1	0.92	10
0.10546875	0.92	10
0.013671875	0.92	10
0.556640625	0.92	10
0.193359375	0.92	10
0.4921875	0.92	10
0.037109375	0.92	10
0.048828125	0.92	10
0.10546875	0.92	10
0.013671875	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.275390625	0.92	10
0.083984375	0.92	10
0.275390625	0.92	10
0.013671875	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.193359375	0.92	10
0.083984375	0.92	10
0.064453125	0.92	10
0.013671875	0.92	10
0.193359375	0.92	10
0.4921875	0.92	10
0.232421875	0.92	10
0.130859375	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.76953125	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.00390625	0.92	10
0.02734375	0.92	10
0.009765625	0.92	10
0.375	0.92	10
0.130859375	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.10546875	0.92	10
0.01953125	0.92	10
0.10546875	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.232421875	0.92	10
0.00390625	0.92	10
0.005859375	0.92	10
0.275390625	0.92	10
0.005859375	0.92	10
0.10546875	0.92	10
0.083984375	0.92	10
0.375	0.92	10
0.083984375	0.92	10
0.013671875	0.92	10
0.275390625	0.92	10
0.01953125	0.92	10
0.130859375	0.92	10
0.232421875	0.92	10
0.232421875	0.92	10
0.001953125	0.92	10
0.00390625	0.92	10
0.01953125	0.92	10
0.10546875	0.92	10
0.037109375	0.92	10
0.001953125	0.92	10
0.130859375	0.92	10
0.001953125	0.92	10
0.76953125	0.92	10
0.083984375	0.92	10
0.02734375	0.92	10
0.083984375	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.02734375	0.92	10
0.10546875	0.92	10
0.01953125	0.92	10
0.013671875	0.92	10
0.02734375	0.92	10
0.10546875	0.92	10
0.322265625	0.92	10
0.01953125	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.431640625	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.009765625	0.92	10
0.232421875	0.92	10
0.037109375	0.92	10
0.083984375	0.92	10
0.02734375	0.92	10
0.375	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.00390625	0.92	10
0.130859375	0.92	10
0.064453125	0.92	10
0.048828125	0.92	10
0.76953125	0.92	10
0.275390625	0.92	10
0.556640625	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.275390625	0.92	10
0.083984375	0.92	10
0.10546875	0.92	10
0.083984375	0.92	10
0.005859375	0.92	10
0.00390625	0.92	10
0.556640625	0.92	10
0.037109375	0.92	10
0.009765625	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.193359375	0.92	10
0.02734375	0.92	10
0.193359375	0.92	10
0.01953125	0.92	10
0.275390625	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
1	0.92	10
0.375	0.92	10
0.00390625	0.92	10
0.556640625	0.92	10
0.02734375	0.92	10
0.037109375	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.048828125	0.92	10
0.10546875	0.92	10
0.275390625	0.92	10
0.037109375	0.92	10
0.431640625	0.92	10
0.064453125	0.92	10
0.375	0.92	10
0.037109375	0.92	10
0.064453125	0.92	10
0.005859375	0.92	10
0.01953125	0.92	10
0.01953125	0.92	10
0.001953125	0.92	10
0.193359375	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.005859375	0.92	10
0.193359375	0.92	10
0.275390625	0.92	10
0.556640625	0.92	10
0.013671875	0.92	10
0.10546875	0.92	10
0.4921875	0.92	10
0.001953125	0.92	10
0.322265625	0.92	10
0.232421875	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.02734375	0.92	10
0.16015625	0.92	10
0.845703125	0.92	10
0.037109375	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.083984375	0.92	10
0.10546875	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.193359375	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.009765625	0.92	10
0.10546875	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.625	0.92	10
0.4921875	0.92	10
0.009765625	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.013671875	0.92	10
0.064453125	0.92	10
0.921875	0.92	10
0.232421875	0.92	10
0.009765625	0.92	10
0.009765625	0.92	10
0.005859375	0.92	10
0.10546875	0.92	10
0.275390625	0.92	10
0.013671875	0.92	10
1	0.92	10
0.193359375	0.92	10
0.083984375	0.92	10
0.193359375	0.92	10
0.048828125	0.92	10
0.083984375	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.083984375	0.92	10
0.005859375	0.92	10
0.064453125	0.92	10
0.6953125	0.92	10
0.130859375	0.92	10
0.048828125	0.92	10
0.130859375	0.92	10
0.193359375	0.92	10
0.064453125	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.01953125	0.92	10
0.013671875	0.92	10
0.009765625	0.92	10
0.01953125	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.083984375	0.92	10
0.083984375	0.92	10
0.02734375	0.92	10
0.130859375	0.92	10
0.00390625	0.92	10
0.005859375	0.92	10
0.16015625	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.01953125	0.92	10
0.431640625	0.92	10
0.375	0.92	10
0.625	0.92	10
0.10546875	0.92	10
0.001953125	0.92	10
0.6953125	0.92	10
0.048828125	0.92	10
0.275390625	0.92	10
0.048828125	0.92	10
0.02734375	0.92	10
0.005859375	0.92	10
0.4921875	0.92	10
0.009765625	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.130859375	0.92	10
0.193359375	0.92	10
0.064453125	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.275390625	0.92	10
0.431640625	0.92	10
0.4921875	0.92	10
0.013671875	0.92	10
0.013671875	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.232421875	0.92	10
0.00390625	0.92	10
0.048828125	0.92	10
0.083984375	0.92	10
0.193359375	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.009765625	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.064453125	0.92	10
0.76953125	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.013671875	0.92	10
0.193359375	0.92	10
0.431640625	0.92	10
0.130859375	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.037109375	0.92	10
0.193359375	0.92	10
0.193359375	0.92	10
0.083984375	0.92	10
0.232421875	0.92	10
0.00390625	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.01953125	0.92	10
0.005859375	0.92	10
0.00390625	0.92	10
0.02734375	0.92	10
0.037109375	0.92	10
1	0.92	10
0.013671875	0.92	10
0.16015625	0.92	10
0.048828125	0.92	10
0.083984375	0.92	10
0.275390625	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.048828125	0.92	10
0.193359375	0.92	10
0.10546875	0.92	10
0.001953125	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.232421875	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.130859375	0.92	10
0.037109375	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.02734375	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.130859375	0.92	10
0.037109375	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.005859375	0.92	10
0.322265625	0.92	10
0.10546875	0.92	10
0.009765625	0.92	10
0.064453125	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.001953125	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.00390625	0.92	10
0.009765625	0.92	10
0.005859375	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.193359375	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.00390625	0.92	10
0.037109375	0.92	10
0.083984375	0.92	10
0.005859375	0.92	10
0.083984375	0.92	10
0.130859375	0.92	10
0.431640625	0.92	10
0.193359375	0.92	10
0.275390625	0.92	10
0.048828125	0.92	10
0.322265625	0.92	10
0.02734375	0.92	10
0.009765625	0.92	10
0.037109375	0.92	10
0.275390625	0.92	10
0.083984375	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.037109375	0.92	10
0.10546875	0.92	10
0.005859375	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.275390625	0.92	10
0.130859375	0.92	10
0.76953125	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.375	0.92	10
0.009765625	0.92	10
0.02734375	0.92	10
0.005859375	0.92	10
0.375	0.92	10
0.005859375	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.02734375	0.92	10
0.02734375	0.92	10
0.6953125	0.92	10
0.6953125	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.232421875	0.92	10
0.02734375	0.92	10
0.232421875	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.10546875	0.92	10
0.064453125	0.92	10
0.064453125	0.92	10
0.048828125	0.92	10
0.005859375	0.92	10
0.009765625	0.92	10
0.013671875	0.92	10
0.193359375	0.92	10
0.232421875	0.92	10
0.00390625	0.92	10
0.01953125	0.92	10
0.048828125	0.92	10
0.005859375	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.01953125	0.92	10
0.556640625	0.92	10
0.193359375	0.92	10
0.037109375	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.76953125	0.92	10
0.375	0.92	10
0.001953125	0.92	10
0.322265625	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.013671875	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.10546875	0.92	10
0.064453125	0.92	10
0.005859375	0.92	10
0.064453125	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.02734375	0.92	10
0.037109375	0.92	10
0.009765625	0.92	10
0.02734375	0.92	10
0.013671875	0.92	10
0.10546875	0.92	10
0.037109375	0.92	10
0.10546875	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.845703125	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.130859375	0.92	10
0.009765625	0.92	10
0.375	0.92	10
0.009765625	0.92	10
0.048828125	0.92	10
0.556640625	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.193359375	0.92	10
0.005859375	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.16015625	0.92	10
0.009765625	0.92	10
0.00390625	0.92	10
0.009765625	0.92	10
0.005859375	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.232421875	0.92	10
0.083984375	0.92	10
0.01953125	0.92	10
0.16015625	0.92	10
0.001953125	0.92	10
0.009765625	0.92	10
0.625	0.92	10
0.01953125	0.92	10
0.048828125	0.92	10
0.275390625	0.92	10
0.009765625	0.92	10
0.00390625	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.009765625	0.92	10
0.064453125	0.92	10
0.001953125	0.92	10
0.01953125	0.92	10
0.130859375	0.92	10
0.048828125	0.92	10
0.009765625	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.232421875	0.92	10
0.01953125	0.92	10
0.232421875	0.92	10
0.193359375	0.92	10
0.10546875	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.193359375	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.130859375	0.92	10
0.064453125	0.92	10
0.16015625	0.92	10
0.01953125	0.92	10
0.001953125	0.92	10
0.556640625	0.92	10
0.048828125	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.375	0.92	10
0.16015625	0.92	10
0.037109375	0.92	10
0.16015625	0.92	10
0.130859375	0.92	10
0.01953125	0.92	10
0.193359375	0.92	10
0.037109375	0.92	10
0.275390625	0.92	10
0.193359375	0.92	10
0.048828125	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.4921875	0.92	10
0.625	0.92	10
0.00390625	0.92	10
0.083984375	0.92	10
0.275390625	0.92	10
0.037109375	0.92	10
0.001953125	0.92	10
0.048828125	0.92	10
0.322265625	0.92	10
0.001953125	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.02734375	0.92	10
0.275390625	0.92	10
0.00390625	0.92	10
0.009765625	0.92	10
0.009765625	0.92	10
0.130859375	0.92	10
0.064453125	0.92	10
0.10546875	0.92	10
0.048828125	0.92	10
0.01953125	0.92	10
0.064453125	0.92	10
0.10546875	0.92	10
0.00390625	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.064453125	0.92	10
0.00390625	0.92	10
0.845703125	0.92	10
0.048828125	0.92	10
0.009765625	0.92	10
0.4921875	0.92	10
0.005859375	0.92	10
0.193359375	0.92	10
0.556640625	0.92	10
0.001953125	0.92	10
0.01953125	0.92	10
0.193359375	0.92	10
0.048828125	0.92	10
0.130859375	0.92	10
0.130859375	0.92	10
0.005859375	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.02734375	0.92	10
0.005859375	0.92	10
0.037109375	0.92	10
0.00390625	0.92	10
0.375	0.92	10
0.02734375	0.92	10
0.275390625	0.92	10
0.001953125	0.92	10
0.10546875	0.92	10
0.921875	0.92	10
0.009765625	0.92	10
0.01953125	0.92	10
0.431640625	0.92	10
0.009765625	0.92	10
0.083984375	0.92	10
0.01953125	0.92	10
0.16015625	0.92	10
0.322265625	0.92	10
0.037109375	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.16015625	0.92	10
0.02734375	0.92	10
0.625	0.92	10
0.064453125	0.92	10
0.037109375	0.92	10
0.375	0.92	10
0.048828125	0.92	10
0.193359375	0.92	10
0.037109375	0.92	10
0.01953125	0.92	10
0.037109375	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.00390625	0.92	10
0.02734375	0.92	10
0.001953125	0.92	10
0.064453125	0.92	10
0.02734375	0.92	10
0.064453125	0.92	10
0.02734375	0.92	10
0.01953125	0.92	10
0.083984375	0.92	10
0.02734375	0.92	10
0.048828125	0.92	10
0.556640625	0.92	10
0.845703125	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.193359375	0.92	10
0.375	0.92	10
0.048828125	0.92	10
0.6953125	0.92	10
0.431640625	0.92	10
0.193359375	0.92	10
0.10546875	0.92	10
0.064453125	0.92	10
0.083984375	0.92	10
0.322265625	0.92	10
0.00390625	0.92	10
1	0.92	10
0.16015625	0.92	10
0.921875	0.92	10
0.4921875	0.92	10
0.431640625	0.92	10
0.02734375	0.92	10
0.048828125	0.92	10
0.76953125	0.92	10
0.048828125	0.92	10
0.048828125	0.92	10
0.00390625	0.92	10
0.001953125	0.92	10
0.275390625	0.92	10
0.083984375	0.92	10
0.193359375	0.92	10
0.130859375	0.92	10
0.01953125	0.92	10
0.009765625	0.92	10
0.10546875	0.92	10
0.375	0.92	10
0.083984375	0.92	10
0.001953125	0.92	10
0.322265625	0.92	10
0.193359375	0.92	10
0.232421875	0.92	10
0.16015625	0.92	10
0.048828125	0.92	10
0.375	0.92	10
0.16015625	0.92	10
0.193359375	0.92	10
0.001953125	0.92	10
0.130859375	0.92	10
0.013671875	0.92	10
0.001953125	0.92	10
0.02734375	0.92	10
0.013671875	0.92	10
0.009765625	0.92	10
0.6953125	0.92	10
0.4921875	0.92	10
0.16015625	0.92	10
0.064453125	0.92	10
0.431640625	0.92	10
0.16015625	0.92	10
0.232421875	0.92	10
0.193359375	0.92	10
0.00390625	0.92	10
0.431640625	0.92	10
0.001953125	0.92	10
